"meeting_date","scrape_date","move","diff_bps","bucket_rate","probability"
2026-08-11,2025-03-04,"0.10%",-300,0.1,0
2026-08-11,2025-03-04,"0.35%",-300,0.35,0
2026-08-11,2025-03-04,"0.60%",-300,0.6,0
2026-08-11,2025-03-04,"0.85%",-275,0.85,0
2026-08-11,2025-03-04,"1.10%",-250,1.1,0
2026-08-11,2025-03-04,"1.35%",-225,1.35,0
2026-08-11,2025-03-04,"1.60%",-200,1.6,0
2026-08-11,2025-03-04,"1.85%",-175,1.85,0
2026-08-11,2025-03-04,"2.10%",-150,2.1,0.0141862260427532
2026-08-11,2025-03-04,"2.35%",-125,2.35,0.0334857841915486
2026-08-11,2025-03-04,"2.60%",-100,2.6,0.0660084556702166
2026-08-11,2025-03-04,"2.85%",-75,2.85,0.108667226972036
2026-08-11,2025-03-04,"3.10%",-50,3.1,0.149406083526649
2026-08-11,2025-03-04,"3.35%",-25,3.35,0.171559836296071
2026-08-11,2025-03-04,"3.60%",0,3.6,0.164529452570685
2026-08-11,2025-03-04,"3.85%",25,3.85,0.131780590092567
2026-08-11,2025-03-04,"4.10%",50,4.1,0.0881523990194755
2026-08-11,2025-03-04,"4.35%",75,4.35,0.0492473616745413
2026-08-11,2025-03-04,"4.60%",100,4.6,0.0229765839434577
2026-08-11,2025-03-04,"4.85%",125,4.85,0
2026-08-11,2025-03-04,"5.10%",150,5.1,0
2026-08-11,2025-03-04,"5.35%",175,5.35,0
2026-08-11,2025-03-04,"5.60%",200,5.6,0
2026-08-11,2025-03-04,"5.85%",225,5.85,0
2026-08-11,2025-03-04,"6.10%",250,6.1,0
2026-08-11,2025-03-05,"0.10%",-300,0.1,0
2026-08-11,2025-03-05,"0.35%",-300,0.35,0
2026-08-11,2025-03-05,"0.60%",-300,0.6,0
2026-08-11,2025-03-05,"0.85%",-275,0.85,0
2026-08-11,2025-03-05,"1.10%",-250,1.1,0
2026-08-11,2025-03-05,"1.35%",-225,1.35,0
2026-08-11,2025-03-05,"1.60%",-200,1.6,0
2026-08-11,2025-03-05,"1.85%",-175,1.85,0
2026-08-11,2025-03-05,"2.10%",-150,2.1,0
2026-08-11,2025-03-05,"2.35%",-125,2.35,0.0260581937554694
2026-08-11,2025-03-05,"2.60%",-100,2.6,0.057534111034078
2026-08-11,2025-03-05,"2.85%",-75,2.85,0.103559926998626
