"meeting_date","scrape_date","move","diff_bps","bucket_rate","probability"
2026-12-08,2025-07-06,"0.10%",-300,0.1,0
2026-12-08,2025-07-06,"0.35%",-300,0.35,0
2026-12-08,2025-07-06,"0.60%",-300,0.6,0
2026-12-08,2025-07-06,"0.85%",-275,0.85,0
2026-12-08,2025-07-06,"1.10%",-250,1.1,0
2026-12-08,2025-07-06,"1.35%",-225,1.35,0
2026-12-08,2025-07-06,"1.60%",-200,1.6,0.01208691587241
2026-12-08,2025-07-06,"1.85%",-175,1.85,0.0289372880436804
2026-12-08,2025-07-06,"2.10%",-150,2.1,0.0581574835006031
2026-12-08,2025-07-06,"2.35%",-125,2.35,0.0981233505300683
2026-12-08,2025-07-06,"2.60%",-100,2.6,0.138985160602724
2026-12-08,2025-07-06,"2.85%",-75,2.85,0.165272558223284
2026-12-08,2025-07-06,"3.10%",-50,3.1,0.164995767006398
2026-12-08,2025-07-06,"3.35%",-25,3.35,0.138288019952026
2026-12-08,2025-07-06,"3.60%",0,3.6,0.0973043969709936
2026-12-08,2025-07-06,"3.85%",25,3.85,0.0574790401422677
2026-12-08,2025-07-06,"4.10%",50,4.1,0.0285039667862758
2026-12-08,2025-07-06,"4.35%",75,4.35,0.0118660523692691
2026-12-08,2025-07-06,"4.60%",100,4.6,0
2026-12-08,2025-07-06,"4.85%",125,4.85,0
2026-12-08,2025-07-06,"5.10%",150,5.1,0
2026-12-08,2025-07-06,"5.35%",175,5.35,0
2026-12-08,2025-07-06,"5.60%",200,5.6,0
2026-12-08,2025-07-06,"5.85%",225,5.85,0
2026-12-08,2025-07-06,"6.10%",250,6.1,0
2026-12-08,2025-07-07,"0.10%",-300,0.1,0
2026-12-08,2025-07-07,"0.35%",-300,0.35,0
2026-12-08,2025-07-07,"0.60%",-300,0.6,0
2026-12-08,2025-07-07,"0.85%",-275,0.85,0
2026-12-08,2025-07-07,"1.10%",-250,1.1,0
2026-12-08,2025-07-07,"1.35%",-225,1.35,0
2026-12-08,2025-07-07,"1.60%",-200,1.6,0
2026-12-08,2025-07-07,"1.85%",-175,1.85,0.0228898270218139
2026-12-08,2025-07-07,"2.10%",-150,2.1,0.0479954354240474
2026-12-08,2025-07-07,"2.35%",-125,2.35,0.0848389847718655
2026-12-08,2025-07-07,"2.60%",-100,2.6,0.126426898917014
2026-12-08,2025-07-07,"2.85%",-75,2.85,0.158832502983108
2026-12-08,2025-07-07,"3.10%",-50,3.1,0.168228434005077
